ratings,price,brand,color,storage,processor_type,resolution,size
4.4,158,redmi,white,64GB,qualcomm,Full HD,6.3
4.4,164,redmi,black,64GB,qualcomm,HD,6.0
4.3,115,vivo,green,32GB,mediatek,HD,6.5
4.5,340,vivo,black,128GB,qualcomm,Full HD,6.4
4.4,133,vivo,purple,32GB,qualcomm,HD,6.2
4.3,243,oppo,black,128GB,mediatek,Full HD,6.4
4.2,218,samsung,blue,128GB,qualcomm,HD,6.5
4.4,230,vivo,purple,64GB,qualcomm,HD,6.2
4.2,200,samsung,green,128GB,samsung,4K,6.6
4.4,206,oppo,black,128GB,qualcomm,Full HD,6.5
4.4,215,oneplus,black,128GB,intel,Full HD,6.6
4.0,110,tecno,green,64GB,intel,HD,6.5
4.7,149,tecno,blue,64GB,mediatek,HD,6.6
4.0,104,samsung,blue,32GB,qualcomm,HD,6.5
4.5,175,samsung,black,256GB,qualcomm,Full HD,6.1
4.3,158,samsung,black,64GB,samsung,HD,6.5
4.3,151,infinix,green,64GB,mediatek,Full HD,6.7
4.1,291,redmi,black,128GB,intel,Full HD,6.7
4.3,188,oneplus,black,256GB,intel,4K,6.6
4.2,364,motorola,blue,256GB,mediatek,Full HD,6.5
4.3,388,samsung,black,128GB,qualcomm,Full HD,6.5
4.3,182,mi,grey,32GB,qualcomm,Full HD,6.4
4.0,267,oneplus,blue,256GB,qualcomm,Full HD,6.4
4.5,218,redmi,white,128GB,mediatek,Full HD,6.5
4.3,182,infinix,green,64GB,mediatek,HD,7.0
4.2,230,samsung,grey,128GB,qualcomm,HD,6.6
4.3,315,vivo,blue,128GB,mediatek,Full HD,6.4
4.3,170,infinix,blue,64GB,mediatek,Full HD,7.0
4.2,224,redmi,white,128GB,intel,Full HD,6.6
4.4,401,oppo,black,128GB,mediatek,Full HD,6.4
4.3,194,samsung,green,64GB,samsung,Full HD,6.4
4.5,401,oppo,blue,256GB,mediatek,Full HD,6.7
4.1,170,redmi,black,64GB,qualcomm,Full HD,6.7
4.2,255,xiaomi,black,128GB,intel,Full HD,6.5
4.2,486,oppo,silver,256GB,qualcomm,Full HD,6.7
4.4,212,oppo,black,128GB,mediatek,HD,6.6
4.2,145,tecno,grey,128GB,mediatek,4K,6.8
4.1,218,samsung,black,128GB,samsung,HD,6.5
4.4,267,oppo,purple,128GB,mediatek,4K,6.5
4.3,170,infinix,grey,64GB,mediatek,Full HD,7.0
4.4,127,redmi,black,64GB,mediatek,Full HD,6.5
4.1,303,motorola,green,128GB,qualcomm,Full HD,6.5
4.2,230,infinix,silver,128GB,mediatek,Full HD,6.8
4.4,486,oppo,black,256GB,qualcomm,Full HD,6.5
4.3,302,samsung,white,128GB,samsung,Full HD,6.4
4.3,121,oppo,black,32GB,mediatek,HD,6.5
3.9,218,oppo,black,32GB,mediatek,Full HD,6.0
4.3,145,infinix,black,128GB,mediatek,Full HD,6.8
4.2,121,vivo,grey,64GB,mediatek,HD,6.5
4.4,364,vivo,gold,128GB,mediatek,Full HD,6.4
4.5,395,oppo,silver,256GB,mediatek,Full HD,6.7
4.2,291,redmi,blue,256GB,intel,Full HD,6.7
4.5,115,realme,black,64GB,mediatek,HD,6.2
4.4,206,realme,blue,128GB,mediatek,Full HD,6.5
4.3,217,oneplus,grey,128GB,intel,Full HD,6.7
4.2,121,redmi,grey,64GB,qualcomm,HD,6.2
4.4,338,oneplus,grey,128GB,intel,Full HD,6.7
4.4,218,oppo,green,128GB,mediatek,4K,6.5
4.3,182,redmi,white,64GB,mediatek,Full HD,6.6
4.4,350,oneplus,grey,128GB,intel,Full HD,6.7
4.3,133,vivo,black,32GB,qualcomm,HD,6.5
4.5,258,oneplus,black,256GB,intel,Full HD,6.7
4.6,310,oneplus,green,128GB,qualcomm,2K,6.8
4.2,206,motorola,green,128GB,qualcomm,Full HD,6.4
4.3,170,oppo,black,128GB,qualcomm,HD,6.5
4.3,229,vivo,gold,128GB,intel,4K,6.6
4.3,347,vivo,black,128GB,qualcomm,Full HD,6.3
4.3,139,redmi,blue,64GB,mediatek,Full HD,6.4
4.2,291,redmi,blue,128GB,mediatek,Full HD,6.7
4.0,350,xiaomi,black,256GB,intel,4K,6.7
4.3,176,vivo,green,64GB,mediatek,HD,6.5
4.4,212,redmi,purple,128GB,mediatek,Full HD,6.4
4.3,176,vivo,blue,128GB,mediatek,HD,6.5
4.0,192,samsung,blue,128GB,mediatek,Full HD,6.3
4.5,133,realme,purple,32GB,qualcomm,HD,6.5
4.3,182,vivo,black,128GB,mediatek,HD,6.5
4.4,133,vivo,blue,64GB,qualcomm,HD,6.3
4.2,182,samsung,black,64GB,intel,Full HD,6.4
4.2,109,infinix,purple,64GB,mediatek,HD,6.8
4.4,139,samsung,black,32GB,mediatek,HD,6.5
3.9,188,tecno,blue,128GB,mediatek,4K,6.8
4.5,261,samsung,blue,128GB,intel,Full HD,6.3
4.4,315,oneplus,grey,128GB,intel,Full HD,6.4
4.3,352,samsung,purple,128GB,mediatek,4K,6.6
4.3,176,vivo,green,128GB,mediatek,HD,6.5
4.2,188,samsung,blue,128GB,intel,4K,6.6
4.3,303,realme,green,256GB,mediatek,Full HD,6.7
3.8,213,oneplus,black,256GB,intel,2K,6.7
4.6,359,oneplus,silver,256GB,qualcomm,Full HD,6.5
4.5,267,tecno,blue,256GB,mediatek,4K,6.7
4.4,109,samsung,black,32GB,qualcomm,HD,6.0
4.0,340,oppo,blue,128GB,intel,Full HD,6.4
4.3,230,oppo,grey,64GB,mediatek,HD,5.5
4.3,121,vivo,blue,32GB,qualcomm,HD,6.5
4.4,133,redmi,black,64GB,qualcomm,HD,6.2
4.1,291,samsung,grey,128GB,mediatek,Full HD,6.6
3.8,134,motorola,green,64GB,mediatek,HD,6.5
4.3,176,oneplus,silver,256GB,intel,4K,6.6
4.2,206,motorola,blue,128GB,samsung,Full HD,6.3
4.3,188,samsung,black,64GB,samsung,2K,5.8
4.2,229,motorola,green,128GB,qualcomm,Full HD,6.4
4.2,188,oppo,blue,64GB,mediatek,HD,6.6
4.2,136,motorola,white,64GB,qualcomm,Full HD,6.6
4.4,230,oppo,green,128GB,qualcomm,HD,6.5
4.2,155,redmi,blue,64GB,intel,Full HD,6.4
4.2,206,infinix,grey,256GB,mediatek,Full HD,6.7
4.5,109,infinix,blue,64GB,mediatek,HD,6.5
4.3,285,samsung,black,256GB,qualcomm,Full HD,6.7
4.3,170,vivo,black,64GB,mediatek,HD,6.5
4.2,261,realme,blue,128GB,mediatek,4K,6.4
4.1,194,infinix,gold,256GB,mediatek,Full HD,6.8
4.3,194,vivo,gold,128GB,mediatek,Full HD,6.6
4.3,133,infinix,silver,64GB,mediatek,Full HD,6.8
3.9,188,samsung,green,128GB,samsung,Full HD,6.6
4.2,303,oneplus,grey,128GB,intel,Full HD,6.4
4.4,206,vivo,black,128GB,qualcomm,Full HD,6.6
4.2,119,redmi,green,128GB,mediatek,HD,6.7
4.5,170,realme,black,64GB,qualcomm,Full HD,6.3
4.3,279,realme,white,128GB,qualcomm,Full HD,6.4
4.3,206,vivo,blue,128GB,qualcomm,Full HD,6.6
4.7,181,tecno,black,64GB,mediatek,HD,6.6
4.1,188,oneplus,black,128GB,intel,2K,6.7
4.3,133,infinix,black,64GB,mediatek,HD,6.8
4.3,190,samsung,grey,128GB,mediatek,Full HD,6.6
4.1,302,oneplus,blue,128GB,qualcomm,Full HD,6.4
4.3,139,samsung,black,64GB,mediatek,HD,6.4
4.2,249,oneplus,black,128GB,intel,2K,6.7
4.0,267,oneplus,blue,256GB,intel,Full HD,6.5
4.4,139,redmi,black,128GB,mediatek,Full HD,6.5
4.4,206,redmi,purple,64GB,mediatek,Full HD,6.4
4.2,158,motorola,grey,128GB,qualcomm,Full HD,6.8
4.2,105,redmi,blue,64GB,intel,HD,6.7
4.3,358,samsung,purple,256GB,qualcomm,Full HD,6.7
4.1,103,tecno,black,64GB,mediatek,HD,6.6
4.4,176,samsung,blue,128GB,samsung,Full HD,6.4
